,N_S,N_W,S_N,S_W,W_N,W_S
205,31.900229,28.43819,40.99955,4.6819077,20.501812,8.249775
206,32.101524,28.852613,39.506374,4.562837,19.475874,7.784896
207,32.627365,28.732933,38.955906,4.5090723,18.820915,7.399446
208,32.683083,28.473951,38.46125,4.4356084,18.115585,6.806022
209,32.950916,28.234251,37.68552,4.2459993,17.501944,6.8509316
210,32.366154,27.714228,37.000282,3.9980462,16.577185,6.710611
211,31.601349,27.50884,36.371864,3.7339206,15.501935,6.284444
212,30.499466,27.514706,36.027744,3.6885085,14.708788,6.051517
213,29.526024,27.517435,35.853657,3.6203701,13.90692,5.8599977
214,28.506361,27.629396,35.53741,3.3980813,13.214475,5.9962974
215,28.88043,28.115294,35.713787,3.2961185,13.12256,5.775504
216,29.012106,28.656857,36.324917,3.2754345,12.915765,6.0935683
217,28.81691,28.341862,36.457012,3.3662887,12.57001,6.267381
218,29.41513,27.948265,37.097446,3.300981,12.699333,6.4577026
219,29.10915,26.875664,36.88279,3.2619305,12.456005,6.4564996
220,28.60703,25.900578,37.157726,3.236054,12.281182,6.2743278
221,28.03872,24.860565,37.340034,3.1177225,11.88546,5.9659224
222,27.327856,24.25645,37.806293,3.054812,11.491049,5.980884
223,27.045826,23.620361,38.15202,2.975853,11.173584,6.1693006
224,26.616432,23.185738,38.1874,2.9959083,10.863705,6.0823846
225,26.999855,22.660196,38.7465,2.9737408,10.871793,5.9708924
226,26.947441,22.172981,39.00962,3.0272453,10.750804,6.08067
227,26.793135,22.140223,39.421513,3.127704,10.688059,6.1029696
228,27.202934,21.84098,40.03918,3.3044784,11.0689745,5.9654984
229,27.389193,21.406523,40.75266,3.362482,11.362754,5.854655
230,27.625166,21.876282,41.54188,3.3474298,11.837324,5.9534135
231,28.544752,21.625166,42.13985,3.5380917,12.630492,6.091168
232,28.904795,20.745337,42.253872,3.7986226,12.824687,6.1745243
233,29.74036,19.858307,42.562267,3.8725467,13.400025,6.293755
234,30.828136,19.607124,43.531544,4.1538444,14.067448,7.077757
235,31.253143,19.631804,44.435486,4.1535134,14.36841,7.367048
